area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice
金阊新城,0,0,普通住宅,宝邻苑,高,0,0,107102640477,193,宝邻苑 4室1厅 193万_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-07,4室1厅,81, (共6层),23828
胥江,0,0,普通住宅,姑香苑,低,0,0,107102640609,295,姑香苑 4室2厅 295万_苏州姑苏胥江姑香苑二手房(苏州链家),2020-06-07,4室2厅,110, (共6层),26819
胥江,1,11.56,普通住宅,润达新村,高,0,0,107102644584,295,润达新村顶复 楼下115.17平楼上68平，带独立自行车库_苏州姑苏胥江润达新村二手房(苏州链家),2020-06-08,6室3厅,149.17, (共5层),19777
胥江,1,14.1,普通住宅,新康花园,高,0,0,107102647828,335,新康花园 5室2厅 335万_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-08,5室2厅,140.9, (共5层),23776
苏州大学,2,20.79,普通住宅,联相园,高,0,0,107102647940,515,带城 平江 5楼复式 南北双晒台 精装修 有汽车库_苏州姑苏苏州大学联相园二手房(苏州链家),2020-06-08,4室2厅,179, (共5层),28771
沧浪新城,2,34.1,普通住宅,长欣苑,高,0,0,107102649308,380,长欣苑 4室2厅 380万_苏州姑苏沧浪新城长欣苑二手房(苏州链家),2020-06-09,4室2厅,148.63, (共5层),25567
沧浪新城,0,0,普通住宅,长欣苑,高,0,0,107102649309,300,长欣苑 4室2厅 300万_苏州姑苏沧浪新城长欣苑二手房(苏州链家),2020-06-09,4室2厅,127, (共5层),23623
金门,0,0,普通住宅,银杏苑(姑苏区),高,0,0,107102649869,360,银杏苑复式 自住精装 楼上面积90平左右_苏州姑苏金门银杏苑(姑苏区)二手房(苏州链家),2020-06-09,4室2厅,121.11, (共5层),29726
南门,1,5.62,普通住宅,南园南路34号,高,0,0,107102651641,330,南园南路34号  顶带阁楼 有大露台 超高使用面积_苏州姑苏南门南园南路34号二手房(苏州链家),2020-06-09,4室3厅,94.81, (共6层),34807
南门,1,10.8,普通住宅,盘门雅苑,高,0,0,107102651750,415,此房为全明格局，，前排无遮挡，采光充足。_苏州姑苏南门盘门雅苑二手房(苏州链家),2020-06-09,4室2厅,172, (共5层),24128
胥江,0,0,别墅,城市恬园,低,0,0,107102653092,880,城市恬园为数不多的双拼别墅，带150平山水花园_苏州姑苏胥江城市恬园二手房(苏州链家),2020-06-10,5室2厅,257.46, (共3层),34181
金阊新城,0,0,普通住宅,南山金城1958,高,0,0,107102653889,335,南山金城1958 4室2厅 335万_苏州姑苏金阊新城南山金城1958二手房(苏州链家),2020-06-10,4室2厅,115.5, (共6层),29005
十全街,1,9.73,普通住宅,唐家巷42号,高,0,0,107102657257,510,唐家巷42号 5室2厅 510万_苏州姑苏十全街唐家巷42号二手房(苏州链家),2020-06-11,5室2厅,200, (共4层),25500
南门,0,0,普通住宅,南环西路23号,高,0,0,107102657266,235,南环西路23号 4室2厅 235万_苏州姑苏南门南环西路23号二手房(苏州链家),2020-06-11,4室2厅,159.3, (共5层),14753
平江新城,0,0,普通住宅,华恒家园,高,0,0,107102657384,358,华恒家园 5室3厅 358万_苏州姑苏平江新城华恒家园二手房(苏州链家),2020-06-11,5室3厅,193.04, (共5层),18546
南门,1,10.6,普通住宅,南门世纪花园,高,0,0,107102659535,438,南门世纪花园 5室2厅 438万_苏州姑苏南门南门世纪花园二手房(苏州链家),2020-06-11,5室2厅,99.2, (共4层),44154
留园西园,0,0,普通住宅,御庭苑,高,0,0,107102662116,330,御庭苑 4室2厅 330万_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-06-12,4室2厅,153, (共5层),21569
留园西园,0,0,普通住宅,倪家苑,高,0,0,107102662135,310,倪家苑 5室3厅 310万_苏州姑苏留园西园倪家苑二手房(苏州链家),2020-06-12,5室3厅,133, (共6层),23309
留园西园,0,0,普通住宅,长盛花园,高,0,0,107102662140,330,长盛花园 5室2厅 330万_苏州姑苏留园西园长盛花园二手房(苏州链家),2020-06-12,5室2厅,156, (共4层),21154
南门,0,0,普通住宅,万丽花园,低,0,0,107102663393,580,万丽花园 4室2厅 580万_苏州姑苏南门万丽花园二手房(苏州链家),2020-06-12,4室2厅,187, (共3层),31017
金门,0,0,普通住宅,三香弄八号小区,高,0,0,107102633029,316,房东诚心出售三香弄八号小区四楼复式_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-05,4室2厅,128, (共4层),24688
南门,1,25.24,普通住宅,华侨公寓（姑苏区）,高,0,0,107102594052,610,姑苏南门 华侨公寓 4楼复式 三开间朝南 带汽车库_苏州姑苏南门华侨公寓（姑苏区）二手房(苏州链家),2020-05-28,4室3厅,216.8, (共4层),28137
平江新城,1,21.36,普通住宅,汇翠花园,高,0,0,107102598279,362,汇翠花园 楼下大三室  南北露台 草桥 平江_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-05-29,4室3厅,175.82, (共6层),20590
胥江,0,0,普通住宅,广大家园,高,0,0,107102602016,205,广大家园 4室1厅 205万_苏州姑苏胥江广大家园二手房(苏州链家),2020-05-30,4室1厅,105, (共5层),19524
胥江,0,0,普通住宅,胥虹苑,高,0,0,107102602644,310,胥虹苑顶楼复式精装修业主自住保养好5房3厅3卫带独库_苏州姑苏胥江胥虹苑二手房(苏州链家),2020-05-30,5室3厅,114.71, (共6层),27025
金门,0,0,普通住宅,馨泓花园B区,低,0,0,107102603986,415,馨泓花园 一二楼复式  带汽车库 采光无遮挡_苏州姑苏金门馨泓花园B区二手房(苏州链家),2020-05-30,4室2厅,162, (共5层),25618
南门,1,11.2,普通住宅,盘门雅苑,高,0,0,107102604159,373,2007年商品房；产证面积173全体现；价格包含汽车库_苏州姑苏南门盘门雅苑二手房(苏州链家),2020-05-30,4室2厅,173.3, (共5层),21524
金门,2,45.47,普通住宅,干将名邸,高,0,0,107102604945,365,姑苏市政府北 干将名邸 自住精装，空中别墅。_苏州姑苏金门干将名邸二手房(苏州链家),2020-05-30,4室3厅,162, (共5层),22531
南门,2,25.08,普通住宅,西二路散盘,高,0,0,107102606469,260,总价低，地段好，交通方便 小区环境好，配套完善_苏州姑苏南门西二路散盘二手房(苏州链家),2020-05-31,4室2厅,131.25, (共4层),19810
平江新城,2,16.919999999999998,普通住宅,橘子国花园,高,0,0,107102607032,575,精装，满五，无遮挡采光好，交通便利。_苏州姑苏平江新城橘子国花园二手房(苏州链家),2020-05-31,4室2厅,159.88, (共5层),35965
沧浪新城,2,24.28,普通住宅,友联一村,高,0,0,107102597826,230,精装复式，五房两厅两卫，有独立自行车库，有汽车位！_苏州姑苏沧浪新城友联一村二手房(苏州链家),2020-05-29,5室2厅,147, (共5层),15647
苏州大学,3,27.37,普通住宅,相门后庄12号,高,0,0,107102607162,280,四房 楼上楼下层高都一样 共3个大露台 看房有钥匙_苏州姑苏苏州大学相门后庄12号二手房(苏州链家),2020-05-31,4室2厅,134, (共6层),20896
胥江,3,34.8,普通住宅,桐馨苑,高,0,0,107102607447,220,二号线地铁口，大四房自住精装看房方便！_苏州姑苏胥江桐馨苑二手房(苏州链家),2020-05-31,4室2厅,157, (共6层),14013
南门,2,52.410000000000004,普通住宅,东大街12号院,低,0,0,107102607897,485,房东诚心出售，精装复式，车位车库齐全满二，采光充足_苏州姑苏南门东大街12号院二手房(苏州链家),2020-05-31,5室3厅,230, (共3层),21087
平江新城,0,0,普通住宅,中梁天御三区,高,0,0,107102608081,610,中梁天御三区 4室2厅 610万_苏州姑苏平江新城中梁天御三区二手房(苏州链家),2020-05-31,4室2厅,129.56, (共6层),47083
平江新城,2,26.910000000000004,普通住宅,大观花园北区,高,0,0,107102608892,455,新上 诚心出售 买一层住两层 顶复精装  双轨地铁口_苏州姑苏平江新城大观花园北区二手房(苏州链家),2020-05-31,5室3厅,200, (共5层),22750
桃花坞,2,24.34,普通住宅,东百花巷,低,0,0,107102609690,390,出脚方便 闹中取静  自住精装， 通风好 带独立车库。_苏州姑苏桃花坞东百花巷二手房(苏州链家),2020-05-31,4室2厅,120, (共3层),32500
平江新城,0,0,普通住宅,新天地家园北区,高,0,0,107102608914,355,新天地家园北区 5室2厅 355万_苏州姑苏平江新城新天地家园北区二手房(苏州链家),2020-05-31,5室2厅,200, (共5层),17750
平江新城,0,0,普通住宅,挹秀新村,高,0,0,107102611646,180,诚心出售    单价低    户型正气_苏州姑苏平江新城挹秀新村二手房(苏州链家),2020-05-31,4室2厅,76, (共6层),23685
娄门,1,15.4,普通住宅,永林新村,高,0,0,107102612063,450,此房位置好，采光无遮拦，交通便利，出行方便！_苏州姑苏娄门永林新村二手房(苏州链家),2020-06-01,5室2厅,201.78, (共6层),22302
沧浪新城,1,12.7,普通住宅,水香六村,高,0,0,107102614041,275,多层4楼 满两年 全明户型 户型好 格局好_苏州姑苏沧浪新城水香六村二手房(苏州链家),2020-06-01,4室3厅,100, (共6层),27500
苏州大学,1,15.38,普通住宅,新湘苑,高,0,0,107102614379,408,新湘苑精装复式149.27。含汽车库前排无遮挡，视野开阔_苏州姑苏苏州大学新湘苑二手房(苏州链家),2020-06-01,4室3厅,149.27, (共6层),27334
金阊新城,0,0,普通住宅,富强新苑二区,高,0,0,107102618456,288,此房产证满2年，使用面积大，自住装修，分了两户_苏州姑苏金阊新城富强新苑二区二手房(苏州链家),2020-06-02,5室2厅,187.96, (共5层),15323
平江路,2,22.46,普通住宅,富乡小区,高,0,0,107102619222,370,平江实小本部，自住精装修，五楼复式业主诚意出售_苏州姑苏平江路富乡小区二手房(苏州链家),2020-06-02,4室2厅,150.3, (共5层),24618
胥江,1,17.11,普通住宅,胥江路136号,高,1,7.79,107102619290,234,胥江路136号复式 满五年 通透户型 采光十足_苏州姑苏胥江胥江路136号二手房(苏州链家),2020-06-02,5室2厅,87.32, (共6层),26798
胥江,2,22.03,普通住宅,金桥新村,高,0,0,107102619860,228,顶楼复式面积大 成熟社区，生活便利，此房户型方正_苏州姑苏胥江金桥新村二手房(苏州链家),2020-06-03,4室2厅,140, (共6层),16286
金阊新城,0,0,普通住宅,宝邻苑,高,0,0,107102622008,185,宝邻苑 满5唯一 带阁楼 采光好 配套齐全 使用面积高_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-03,4室2厅,71, (共6层),26057
胥江,0,0,普通住宅,新康花园,高,0,0,107102628190,450,新康花园 近桐泾公园 带独立自行车库_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-04,4室3厅,202, (共6层),22278
平江新城,0,0,普通住宅,苏锦一村,高,0,0,107102626504,375,苏锦一村 5室3厅 375万_苏州姑苏平江新城苏锦一村二手房(苏州链家),2020-06-04,5室3厅,115, (共6层),32609
南门,3,24.78,普通住宅,南华公寓,高,0,0,107102628542,198,南华公寓 4室1厅 198万_苏州姑苏南门南华公寓二手房(苏州链家),2020-06-04,4室1厅,87, (共5层),22759
留园西园,0,0,别墅,丽景花苑,低,0,0,107102593469,655,丽景花苑 5室2厅 655万_苏州姑苏留园西园丽景花苑二手房(苏州链家),2020-05-28,5室2厅,213, (共1层),30752
齐门,0,0,别墅,华润平门府,低,0,0,107102561779,1700,纯别墅小区，住户素质高，大花园，视野开阔_苏州姑苏齐门华润平门府二手房(苏州链家),2020-05-21,5室3厅,466, (共3层),36481
胥江,0,0,普通住宅,三香福郡,低,0,0,107102563942,498,房子户型好 面积大 装修好 环境优美_苏州姑苏胥江三香福郡二手房(苏州链家),2020-05-21,4室2厅,172.3, (共5层),28904
金阊新城,1,3.32,普通住宅,富强新苑二区,高,0,0,107102566639,210,富强新苑二区，采光好，户型正气，可随时看房_苏州姑苏金阊新城富强新苑二区二手房(苏州链家),2020-05-22,4室2厅,120, (共5层),17500
南门,0,0,普通住宅,玉兰新村,高,0,0,107102567867,350,玉兰新村新上，顶复，位置好户型好，业主诚售_苏州姑苏南门玉兰新村二手房(苏州链家),2020-05-22,4室2厅,78.27, (共6层),44718
南门,3,32.059999999999995,普通住宅,盘溪新村上沙苑,高,0,0,107102568141,328,盘溪新村上沙苑，中间位置，品质房源。_苏州姑苏南门盘溪新村上沙苑二手房(苏州链家),2020-05-22,4室2厅,151.74, (共4层),21616
平江新城,0,0,普通住宅,当代万国府MOMΛ,低,1,110.07,107102568269,798,叠加别墅，下叠边户，院子大，纯毛坯可随意装修_苏州姑苏平江新城当代万国府MOMΛ二手房(苏州链家),2020-05-22,4室2厅,202, (共6层),39505
南门,0,0,别墅,华侨公寓（姑苏区）,低,0,0,107102570387,830,华侨公寓（姑苏区） 4室2厅 830万_苏州姑苏南门华侨公寓（姑苏区）二手房(苏州链家),2020-05-23,4室2厅,258, (共1层),32171
留园西园,1,17.29,普通住宅,新庄新村,高,0,0,107102570658,265,采光没有遮挡，房龄新，实用面积大。_苏州姑苏留园西园新庄新村二手房(苏州链家),2020-05-23,5室2厅,175, (共6层),15143
平江新城,2,46.69,普通住宅,当代万国府MOMΛ,高,0,0,107102570682,700,上叠带露台 纯毛坯 可塑性强 房东诚意出售_苏州姑苏平江新城当代万国府MOMΛ二手房(苏州链家),2020-05-23,4室2厅,134.56, (共6层),52022
沧浪新城,2,17.98,普通住宅,福星小区,高,0,0,107102576363,375,此房满五年，楼层好，视野开阔，四楼复式_苏州姑苏沧浪新城福星小区二手房(苏州链家),2020-05-24,4室2厅,166.76, (共4层),22488
留园西园,1,16.62,普通住宅,御庭苑,高,0,0,107102577336,320,御庭苑 品质小区 精装修  价格便宜 适合居住_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-05-24,4室2厅,132, (共5层),24243
留园西园,0,0,普通住宅,嘉业阳光城,低,0,0,107102577467,360,纯商品房小区，有大院子，带21平独库，地下买断车位_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-05-24,4室2厅,148.3, (共5层),24276
沧浪新城,1,7.74,普通住宅,水香六村,高,0,0,107102577999,240,水香六村 4室2厅 240万_苏州姑苏沧浪新城水香六村二手房(苏州链家),2020-05-24,4室2厅,115, (共5层),20870
葑门,0,0,普通住宅,新里河新村,高,0,0,107102578716,395,复式250平前后大花园未体现vr解说 都按老里河小区说的_苏州姑苏葑门新里河新村二手房(苏州链家),2020-05-24,5室3厅,125.48, (共5层),31480
平江新城,1,3.7,普通住宅,梅花新村,高,0,0,107102579821,260,新上！复式大六房！一家人住！业主诚售！看房随时！_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-05-25,6室2厅,135, (共6层),19260
齐门,1,13.17,普通住宅,平齐花苑,高,0,0,107102580241,460,护城河边，平齐花苑，四楼复式，南北通气，平江。_苏州姑苏齐门平齐花苑二手房(苏州链家),2020-05-25,4室3厅,172, (共4层),26745
平江新城,1,13.15,普通住宅,汇翠花园,高,0,0,107102581067,336,房型方正，使用面积较大，视野开阔_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-05-25,4室2厅,156, (共5层),21539
胥江,1,15.68,普通住宅,新康花园,高,0,0,107102581206,278,新康花园兰雪苑 居中位置 实用面积150平带大露台_苏州姑苏胥江新康花园二手房(苏州链家),2020-05-25,4室2厅,145, (共6层),19173
留园西园,1,6.18,普通住宅,冠云花园,高,0,0,107102581138,289,户型正气，采光充足带阁楼  业主自住装修 带南北露台_苏州姑苏留园西园冠云花园二手房(苏州链家),2020-05-25,4室2厅,190, (共5层),15211
胥江,3,57.059999999999995,别墅,景运家园,低,1,23.12,107102581885,700,满五年4层联排别墅有车库，带大院子。。。。_苏州姑苏胥江景运家园二手房(苏州链家),2020-05-25,6室3厅,254, (共3层),27560
胥江,0,0,普通住宅,城市恬园,高,0,0,107102584218,540,城市恬园 7层电梯复式 楼上楼下使用面积280平 带露台_苏州姑苏胥江城市恬园二手房(苏州链家),2020-05-25,6室2厅,176, (共7层),30682
南门,2,11.64,普通住宅,金狮小区,高,0,0,107102583625,437,顶楼复式，超满足客厅，可打斯诺克，干净简单装修，_苏州姑苏南门金狮小区二手房(苏州链家),2020-05-25,4室3厅,150.79, (共5层),28981
金阊新城,0,0,普通住宅,南山金城1958,低,0,0,107102587085,390,南山金城1958 4室2厅 390万_苏州姑苏金阊新城南山金城1958二手房(苏州链家),2020-05-26,4室2厅,137.7, (共6层),28323
胥江,3,30.4,普通住宅,新康花园,高,0,0,107102587354,425,南北双露台带汽车库自行车库免费车位拎包入住诚心出售_苏州姑苏胥江新康花园二手房(苏州链家),2020-05-26,5室3厅,200, (共5层),21250
南门,2,13.219999999999999,普通住宅,南园,高,0,0,107102589171,315,南园 4室2厅 315万_苏州姑苏南门南园二手房(苏州链家),2020-05-27,4室2厅,87.54, (共6层),35984
娄门,1,9.37,普通住宅,塘坊苑,高,0,0,107102590050,260,塘坊苑，精装修4房朝南，15平北晒台，车库12平方_苏州姑苏娄门塘坊苑二手房(苏州链家),2020-05-27,4室2厅,104.49, (共5层),24883
桃花坞,1,4.25,普通住宅,曹家巷,低,0,0,107102592166,350,东中市 景范 2002年小区 精装修 三楼复式 看房预约_苏州姑苏桃花坞曹家巷二手房(苏州链家),2020-05-27,4室2厅,97.73, (共3层),35813
留园西园,1,8.18,普通住宅,清塘新村,高,0,0,107102574127,200,清塘新村 4室2厅 200万_苏州姑苏留园西园清塘新村二手房(苏州链家),2020-05-23,4室2厅,110, (共5层),18182
南门,0,0,普通住宅,东大街12号院,低,0,0,107102572214,288,此房满五唯一，成熟社区，生活便利，户型方正_苏州姑苏南门东大街12号院二手房(苏州链家),2020-05-23,4室2厅,114, (共4层),25264
留园西园,0,0,别墅,嘉业阳光城,低,0,0,107102560881,680,联排别墅，实际使用面积大，位置好，交通方便。_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-05-21,5室2厅,252, (共1层),26985
苏州大学,1,6.7,普通住宅,干将东路散盘,高,0,0,107102522300,485,此房满五唯一，采光充足视野宽阔配套设施齐全交通便利_苏州姑苏苏州大学干将东路散盘二手房(苏州链家),2020-05-13,5室3厅,181.84, (共5层),26672
十全街,0,0,普通住宅,网师巷散盘,低,0,0,107102524647,950,网师巷里 月到风来亭 十全街左 看松读画轩_苏州姑苏十全街网师巷散盘二手房(苏州链家),2020-05-13,4室3厅,175.69, (共3层),54073
南门,1,17.26,普通住宅,南环花苑,高,0,0,107102526013,300,南环菜场旁南环花苑五楼顶复2000年房龄超大汽车库_苏州姑苏南门南环花苑二手房(苏州链家),2020-05-13,4室2厅,120, (共5层),25000
胥江,0,0,普通住宅,胥江路136号,高,0,0,107102526133,236,胥江路136号 五楼复式80+40平 有汽车库_苏州姑苏胥江胥江路136号二手房(苏州链家),2020-05-13,4室3厅,80.23, (共6层),29416
十全街,0,0,普通住宅,吴衙场散盘,低,1,34.28,107102527817,1100,吴衙场散盘 6室2厅 1100万_苏州姑苏十全街吴衙场散盘二手房(苏州链家),2020-05-14,6室2厅,193.27, (共2层),56916
留园西园,0,0,别墅,长盛花园,低,0,0,107102526754,829.6,姑苏区经典双拼别墅、三面围绕大花园 总高三层带车库_苏州姑苏留园西园长盛花园二手房(苏州链家),2020-05-14,5室2厅,250, (共1层),33184
金门,1,9.02,普通住宅,新元二村,高,0,0,107102532298,326,自住精装5楼复式，客厅挑高采光通透 业主订房急售_苏州姑苏金门新元二村二手房(苏州链家),2020-05-15,5室2厅,184.08, (共5层),17710
十全街,0,0,普通住宅,东小桥弄散盘,低,1,10.13,107102533433,650,沧实 十梓街 出行方便 振华 有钥匙_苏州姑苏十全街东小桥弄散盘二手房(苏州链家),2020-05-15,4室3厅,235, (共6层),27660
平江新城,0,0,普通住宅,梅花三村,高,0,0,107102534056,200,此房满五年，顶楼复式，采光好，户型正气，全明户型_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-05-15,4室2厅,98.86, (共5层),20231
平江新城,0,0,普通住宅,大观花园,高,0,0,107102537104,460,大观花园，三层复式，带汽车库。诚心出售。_苏州姑苏平江新城大观花园二手房(苏州链家),2020-05-16,5室3厅,202, (共5层),22773
平江新城,2,13.36,普通住宅,鼎尚花园(姑苏区),高,0,0,107102541215,255,鼎尚花园(姑苏区) 4室2厅 255万_苏州姑苏平江新城鼎尚花园(姑苏区)二手房(苏州链家),2020-05-17,4室2厅,110, (共5层),23182
金门,1,9.3,普通住宅,彩香二村,高,0,0,107102541525,276,彩香二村 户型方正  采光充足  生活配套设施齐全_苏州姑苏金门彩香二村二手房(苏州链家),2020-05-17,5室2厅,138, (共6层),20000
金阊新城,0,0,普通住宅,富强新苑一区,高,0,0,107102542682,210,精装 4房   富强大户   喜欢的可以看看_苏州姑苏金阊新城富强新苑一区二手房(苏州链家),2020-05-17,4室2厅,117, (共5层),17949
桃花坞,0,0,别墅,景苑小区,低,0,0,107102542786,816,联排别墅四层 精装修 自住保养好 有院子和汽车库_苏州姑苏桃花坞景苑小区二手房(苏州链家),2020-05-17,5室2厅,220, (共4层),37091
金门,0,0,普通住宅,彩香一村三区,低,0,0,107102543084,320,彩香一村三区 大户型  诚心出售 房龄狠新_苏州姑苏金门彩香一村三区二手房(苏州链家),2020-05-17,4室2厅,137.53, (共4层),23268
平江新城,0,0,普通住宅,官渎花园,高,0,0,107102543115,205,新上房源 房东诚心出售 配套齐全 观前街 万达广场_苏州姑苏平江新城官渎花园二手房(苏州链家),2020-05-17,4室2厅,81.72, (共5层),25086
十全街,0,0,普通住宅,木杏新村,低,0,0,107102544377,460,木杏新村3楼复式，楼上40平不体现，平直振华_苏州姑苏十全街木杏新村二手房(苏州链家),2020-05-17,4室2厅,104.41, (共3层),44058
桃花坞,0,0,普通住宅,高师巷散盘,低,0,0,107102544561,498,此房满五不唯一中式装修，位于东中市实小和景范中间_苏州姑苏桃花坞高师巷散盘二手房(苏州链家),2020-05-17,5室3厅,199, (共2层),25026
胥江,0,0,普通住宅,银桥新村,高,0,0,107102544980,360,红房子四楼复式，带晒台，带汽车库，有钥匙，诚心出售_苏州姑苏胥江银桥新村二手房(苏州链家),2020-05-17,4室3厅,146, (共4层),24658
石路,2,33.09,普通住宅,新风巷78号,高,0,0,107102546806,240,石路地铁口 新风巷 空中别墅 南北大露台 户型方正_苏州姑苏石路新风巷78号二手房(苏州链家),2020-05-18,4室2厅,107.44, (共5层),22339
留园西园,1,13.94,普通住宅,新庄二村,高,0,0,107102547965,176,新庄二村 4室2厅 176万_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-05-18,4室2厅,99, (共5层),17778
十全街,2,34.52,普通住宅,燕家巷18号,低,0,0,107102548154,450,燕家巷18号 4室2厅 450万_苏州姑苏十全街燕家巷18号二手房(苏州链家),2020-05-18,4室2厅,142.76, (共3层),31522
胥江,1,7.68,普通住宅,东方苑（胥江）,高,0,0,107102551454,339,东方苑 胥江路，地铁口，精装，_苏州姑苏胥江东方苑（胥江）二手房(苏州链家),2020-05-19,5室2厅,180, (共6层),18834
十全街,1,9.62,普通住宅,醋库巷散盘,低,0,0,107102551473,490,十全街凤凰街 平直+振华 醋库巷56号 2楼复式随时看_苏州姑苏十全街醋库巷散盘二手房(苏州链家),2020-05-19,4室2厅,108, (共2层),45371
观前街,0,0,普通住宅,祥符寺巷散盘,高,0,0,107102552197,480,标准的户型，正气，景范，敬文，闹中取静，出行方便_苏州姑苏观前街祥符寺巷散盘二手房(苏州链家),2020-05-19,5室2厅,165, (共4层),29091
南门,0,0,普通住宅,桂花新村,低,0,0,107102554140,560,精装 4房 边套户型 满5年 税少_苏州姑苏南门桂花新村二手房(苏州链家),2020-05-19,4室2厅,128.13, (共3层),43706
虎丘,2,43.26,别墅,现代美墅,低,1,30.02,107102554667,850,联排大别墅 使用面积大 满五唯一 精装带电梯_苏州姑苏虎丘现代美墅二手房(苏州链家),2020-05-20,6室3厅,234.08, (共1层),36313
葑门,2,23.12,普通住宅,杨枝四村,高,0,0,107102559270,268,杨枝四村  精装修复式  带南北大露台  带车库车位_苏州姑苏葑门杨枝四村二手房(苏州链家),2020-05-20,4室2厅,110.88, (共6层),24171
胥江,2,15.27,普通住宅,劳动路550号,高,0,0,107102560033,245,满五年，近地铁，复式利用空间大_苏州姑苏胥江劳动路550号二手房(苏州链家),2020-05-21,4室2厅,78.71, (共5层),31127
留园西园,0,0,普通住宅,嘉业阳光城,高,0,0,107102520384,390,房子满五，不唯一，采光好，通透全明户型_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-05-12,4室4厅,194, (共5层),20104
桃花坞,1,7.97,普通住宅,桂和公寓,高,0,0,107102497161,310,养育巷 乐桥 顶层复式 带俩车位 20多平独立车库 急售_苏州姑苏桃花坞桂和公寓二手房(苏州链家),2020-05-07,4室2厅,149.09, (共5层),20793
南门,1,3.62,普通住宅,南华公寓,高,0,0,107102500152,258,05年新的南环公寓 5楼复式 带晒台 有独立车库_苏州姑苏南门南华公寓二手房(苏州链家),2020-05-08,5室2厅,127.24, (共5层),20277
南门,1,10.46,普通住宅,水城丽都,高,0,0,107102501459,438,团结桥地铁口 水城丽都 顶复 自住精装修 房东诚售_苏州姑苏南门水城丽都二手房(苏州链家),2020-05-08,4室2厅,167.09, (共5层),26214
金门,0,0,别墅,寒舍,低,0,0,107102501773,595,小区前排，花园大，南进门，总价低，业主诚心出售_苏州姑苏金门寒舍二手房(苏州链家),2020-05-08,4室3厅,223, (共3层),26682
胥江,0,0,普通住宅,金帝名园,低,0,0,107102503726,1035,金帝名园 人车分流 假山花园 环境优美 安静居家_苏州姑苏胥江金帝名园二手房(苏州链家),2020-05-09,4室4厅,309.8, (共4层),33409
