,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
43,南门,2,52.41,普通住宅,东大街12号院,低,0,0.0,107102607897,485.0,房东诚心出售，精装复式，车位车库齐全满二，采光充足_苏州姑苏南门东大街12号院二手房(苏州链家),2020-05-31,5室3厅,230.0, (共3层),21087,3,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,230.0,0.0,0.0,21000,-2000.0,4120.5,23120.5,516.6177775
45,平江新城,2,26.910000000000004,普通住宅,大观花园北区,高,0,0.0,107102608892,455.0,新上 诚心出售 买一层住两层 顶复精装  双轨地铁口_苏州姑苏平江新城大观花园北区二手房(苏州链家),2020-05-31,5室3厅,200.0, (共5层),22750,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,17000,0.0,8845.5,25845.5,505.219
46,桃花坞,2,24.34,普通住宅,东百花巷,低,0,0.0,107102609690,390.0,出脚方便 闹中取静  自住精装， 通风好 带独立车库。_苏州姑苏桃花坞东百花巷二手房(苏州链家),2020-05-31,4室2厅,120.0, (共3层),32500,3,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,120.0,0.0,0.0,23000,0.0,2717.0,25717.0,308.604
47,平江新城,0,0.0,普通住宅,新天地家园北区,高,0,0.0,107102608914,355.0,新天地家园北区 5室2厅 355万_苏州姑苏平江新城新天地家园北区二手房(苏州链家),2020-05-31,5室2厅,200.0, (共5层),17750,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,17000,0.0,-2000.0,15000.0,300.0
48,平江新城,0,0.0,普通住宅,挹秀新村,高,0,0.0,107102611646,180.0,诚心出售    单价低    户型正气_苏州姑苏平江新城挹秀新村二手房(苏州链家),2020-05-31,4室2厅,76.0, (共6层),23685,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,17000,0.0,-3000.0,14000.0,106.4
49,娄门,1,15.4,普通住宅,永林新村,高,0,0.0,107102612063,450.0,此房位置好，采光无遮拦，交通便利，出行方便！_苏州姑苏娄门永林新村二手房(苏州链家),2020-06-01,5室2厅,201.78, (共6层),22302,6,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,201.0,0.0,0.0,21000,0.0,-1230.0,19770.0,397.377
52,金阊新城,0,0.0,普通住宅,富强新苑二区,高,0,0.0,107102618456,288.0,此房产证满2年，使用面积大，自住装修，分了两户_苏州姑苏金阊新城富强新苑二区二手房(苏州链家),2020-06-02,5室2厅,187.96, (共5层),15323,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,17000,0.0,-2000.0,15000.0,280.5
53,平江路,2,22.46,普通住宅,富乡小区,高,0,0.0,107102619222,370.0,平江实小本部，自住精装修，五楼复式业主诚意出售_苏州姑苏平江路富乡小区二手房(苏州链家),2020-06-02,4室2厅,150.3, (共5层),24618,5,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,150.0,0.0,0.0,23000,0.0,123.0,23123.0,346.845
54,胥江,1,17.11,普通住宅,胥江路136号,高,1,7.79,107102619290,234.0,胥江路136号复式 满五年 通透户型 采光十足_苏州姑苏胥江胥江路136号二手房(苏州链家),2020-06-02,5室2厅,87.32, (共6层),26798,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,0.0,0.0,20000,-2000.0,245.0,18245.0,158.7315
55,胥江,2,22.03,普通住宅,金桥新村,高,0,0.0,107102619860,228.0,顶楼复式面积大 成熟社区，生活便利，此房户型方正_苏州姑苏胥江金桥新村二手房(苏州链家),2020-06-03,4室2厅,140.0, (共6层),16286,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,140.0,0.0,1.0,20000,0.0,9101.5,29101.5,407.421
56,金阊新城,0,0.0,普通住宅,宝邻苑,高,0,0.0,107102622008,185.0,宝邻苑 满5唯一 带阁楼 采光好 配套齐全 使用面积高_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-03,4室2厅,71.0, (共6层),26057,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,0.0,1.0,17000,0.0,0.0,17000.0,120.7
59,南门,3,24.78,普通住宅,南华公寓,高,0,0.0,107102628542,198.0,南华公寓 4室1厅 198万_苏州姑苏南门南华公寓二手房(苏州链家),2020-06-04,4室1厅,87.0, (共5层),22759,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,87.0,0.0,0.0,21000,0.0,239.0,21239.0,184.7793
63,金阊新城,1,3.32,普通住宅,富强新苑二区,高,0,0.0,107102566639,210.0,富强新苑二区，采光好，户型正气，可随时看房_苏州姑苏金阊新城富强新苑二区二手房(苏州链家),2020-05-22,4室2厅,120.0, (共5层),17500,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,17000,0.0,-834.0,16166.0,193.992
65,南门,3,32.059999999999995,普通住宅,盘溪新村上沙苑,高,0,0.0,107102568141,328.0,盘溪新村上沙苑，中间位置，品质房源。_苏州姑苏南门盘溪新村上沙苑二手房(苏州链家),2020-05-22,4室2厅,151.74, (共4层),21616,4,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,151.0,0.0,0.0,21000,0.0,1603.0,22603.0,341.3053
68,留园西园,1,17.29,普通住宅,新庄新村,高,0,0.0,107102570658,265.0,采光没有遮挡，房龄新，实用面积大。_苏州姑苏留园西园新庄新村二手房(苏州链家),2020-05-23,5室2厅,175.0, (共6层),15143,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,175.0,0.0,0.0,20000,0.0,-1135.5,18864.5,330.12875
70,沧浪新城,2,17.98,普通住宅,福星小区,高,0,0.0,107102576363,375.0,此房满五年，楼层好，视野开阔，四楼复式_苏州姑苏沧浪新城福星小区二手房(苏州链家),2020-05-24,4室2厅,166.76, (共4层),22488,4,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,17000,0.0,899.0,17899.0,297.1234
71,留园西园,1,16.62,普通住宅,御庭苑,高,0,0.0,107102577336,320.0,御庭苑 品质小区 精装修  价格便宜 适合居住_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-05-24,4室2厅,132.0, (共5层),24243,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,132.0,0.0,0.0,20000,0.0,-169.0,19831.0,261.7692
72,留园西园,0,0.0,普通住宅,嘉业阳光城,低,0,0.0,107102577467,360.0,纯商品房小区，有大院子，带21平独库，地下买断车位_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-05-24,4室2厅,148.3, (共5层),24276,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,148.0,0.0,0.0,20000,0.0,500.0,20500.0,303.4
73,沧浪新城,1,7.74,普通住宅,水香六村,高,0,0.0,107102577999,240.0,水香六村 4室2厅 240万_苏州姑苏沧浪新城水香六村二手房(苏州链家),2020-05-24,4室2厅,115.0, (共5层),20870,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,17000,0.0,-613.0,16387.0,188.4505
75,平江新城,1,3.7,普通住宅,梅花新村,高,0,0.0,107102579821,260.0,新上！复式大六房！一家人住！业主诚售！看房随时！_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-05-25,6室2厅,135.0, (共6层),19260,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,17000,0.0,-1815.0,15185.0,204.9975
76,齐门,1,13.17,普通住宅,平齐花苑,高,0,0.0,107102580241,460.0,护城河边，平齐花苑，四楼复式，南北通气，平江。_苏州姑苏齐门平齐花苑二手房(苏州链家),2020-05-25,4室3厅,172.0, (共4层),26745,4,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,172.0,0.0,0.0,23000,0.0,658.5,23658.5,406.9262
77,平江新城,1,13.15,普通住宅,汇翠花园,高,0,0.0,107102581067,336.0,房型方正，使用面积较大，视野开阔_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-05-25,4室2厅,156.0, (共5层),21539,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,17000,0.0,-342.5,16657.5,259.857
78,胥江,1,15.68,普通住宅,新康花园,高,0,0.0,107102581206,278.0,新康花园兰雪苑 居中位置 实用面积150平带大露台_苏州姑苏胥江新康花园二手房(苏州链家),2020-05-25,4室2厅,145.0, (共6层),19173,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,145.0,0.0,0.0,20000,0.0,-1216.0,18784.0,272.368
79,留园西园,1,6.18,普通住宅,冠云花园,高,0,0.0,107102581138,289.0,户型正气，采光充足带阁楼  业主自住装修 带南北露台_苏州姑苏留园西园冠云花园二手房(苏州链家),2020-05-25,4室2厅,190.0, (共5层),15211,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,190.0,0.0,1.0,20000,0.0,9309.0,29309.0,541.968255
80,胥江,3,57.06,别墅,景运家园,低,1,23.12,107102581885,700.0,满五年4层联排别墅有车库，带大院子。。。。_苏州姑苏胥江景运家园二手房(苏州链家),2020-05-25,6室3厅,254.0, (共3层),27560,3,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,254.0,1.0,0.0,20000,0.0,11009.0,31009.0,738.3997678000001
82,南门,2,11.64,普通住宅,金狮小区,高,0,0.0,107102583625,437.0,顶楼复式，超满足客厅，可打斯诺克，干净简单装修，_苏州姑苏南门金狮小区二手房(苏州链家),2020-05-25,4室3厅,150.79, (共5层),28981,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,150.0,0.0,1.0,21000,0.0,10026.989720803767,31026.989720803766,465.40484581205646
84,胥江,3,30.4,普通住宅,新康花园,高,0,0.0,107102587354,425.0,南北双露台带汽车库自行车库免费车位拎包入住诚心出售_苏州姑苏胥江新康花园二手房(苏州链家),2020-05-26,5室3厅,200.0, (共5层),21250,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,200.0,0.0,0.0,20000,0.0,520.0,20520.0,410.4
86,娄门,1,9.37,普通住宅,塘坊苑,高,0,0.0,107102590050,260.0,塘坊苑，精装修4房朝南，15平北晒台，车库12平方_苏州姑苏娄门塘坊苑二手房(苏州链家),2020-05-27,4室2厅,104.49, (共5层),24883,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,104.0,0.0,0.0,21000,0.0,-531.5,20468.5,212.8724
88,留园西园,1,8.18,普通住宅,清塘新村,高,0,0.0,107102574127,200.0,清塘新村 4室2厅 200万_苏州姑苏留园西园清塘新村二手房(苏州链家),2020-05-23,4室2厅,110.0, (共5层),18182,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,110.0,0.0,0.0,20000,0.0,-591.0,19409.0,213.499
89,南门,0,0.0,普通住宅,东大街12号院,低,0,0.0,107102572214,288.0,此房满五唯一，成熟社区，生活便利，户型方正_苏州姑苏南门东大街12号院二手房(苏州链家),2020-05-23,4室2厅,114.0, (共4层),25264,4,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,114.0,0.0,0.0,21000,-2000.0,500.0,19500.0,222.3
90,留园西园,0,0.0,别墅,嘉业阳光城,低,0,0.0,107102560881,680.0,联排别墅，实际使用面积大，位置好，交通方便。_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-05-21,5室2厅,252.0, (共1层),26985,1,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,252.0,1.0,0.0,20000,0.0,5000.0,25000.0,601.02
93,南门,1,17.26,普通住宅,南环花苑,高,0,0.0,107102526013,300.0,南环菜场旁南环花苑五楼顶复2000年房龄超大汽车库_苏州姑苏南门南环花苑二手房(苏州链家),2020-05-13,4室2厅,120.0, (共5层),25000,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,120.0,0.0,1.0,21000,0.0,10363.0,31363.0,376.356
97,金门,1,9.02,普通住宅,新元二村,高,0,0.0,107102532298,326.0,自住精装5楼复式，客厅挑高采光通透 业主订房急售_苏州姑苏金门新元二村二手房(苏州链家),2020-05-15,5室2厅,184.08, (共5层),17710,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,184.0,0.0,0.0,20000,0.0,-549.0,19451.0,357.8984
99,平江新城,0,0.0,普通住宅,梅花三村,高,0,0.0,107102534056,200.0,此房满五年，顶楼复式，采光好，户型正气，全明户型_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-05-15,4室2厅,98.86, (共5层),20231,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,1.0,17000,0.0,1000.0,18000.0,176.4
101,平江新城,2,13.36,普通住宅,鼎尚花园(姑苏区),高,0,0.0,107102541215,255.0,鼎尚花园(姑苏区) 4室2厅 255万_苏州姑苏平江新城鼎尚花园(姑苏区)二手房(苏州链家),2020-05-17,4室2厅,110.0, (共5层),23182,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,17000,0.0,-332.0,16668.0,183.348
102,金门,1,9.3,普通住宅,彩香二村,高,0,0.0,107102541525,276.0,彩香二村 户型方正  采光充足  生活配套设施齐全_苏州姑苏金门彩香二村二手房(苏州链家),2020-05-17,5室2厅,138.0, (共6层),20000,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,138.0,0.0,0.0,20000,0.0,-1535.0,18465.0,254.817
103,金阊新城,0,0.0,普通住宅,富强新苑一区,高,0,0.0,107102542682,210.0,精装 4房   富强大户   喜欢的可以看看_苏州姑苏金阊新城富强新苑一区二手房(苏州链家),2020-05-17,4室2厅,117.0, (共5层),17949,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,17000,0.0,-2000.0,15000.0,175.5
105,金门,0,0.0,普通住宅,彩香一村三区,低,0,0.0,107102543084,320.0,彩香一村三区 大户型  诚心出售 房龄狠新_苏州姑苏金门彩香一村三区二手房(苏州链家),2020-05-17,4室2厅,137.53, (共4层),23268,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,137.0,0.0,0.0,20000,0.0,500.0,20500.0,280.85
106,平江新城,0,0.0,普通住宅,官渎花园,高,0,0.0,107102543115,205.0,新上房源 房东诚心出售 配套齐全 观前街 万达广场_苏州姑苏平江新城官渎花园二手房(苏州链家),2020-05-17,4室2厅,81.72, (共5层),25086,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,17000,0.0,-2000.0,15000.0,121.5
108,桃花坞,0,0.0,普通住宅,高师巷散盘,低,0,0.0,107102544561,498.0,此房满五不唯一中式装修，位于东中市实小和景范中间_苏州姑苏桃花坞高师巷散盘二手房(苏州链家),2020-05-17,5室3厅,199.0, (共2层),25026,2,,2000.0,0.0,0.0,1.0,1.0,1.0,0.0,199.0,1.0,0.0,23000,-2000.0,5000.0,26000.0,505.7187
109,胥江,0,0.0,普通住宅,银桥新村,高,0,0.0,107102544980,360.0,红房子四楼复式，带晒台，带汽车库，有钥匙，诚心出售_苏州姑苏胥江银桥新村二手房(苏州链家),2020-05-17,4室3厅,146.0, (共4层),24658,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,146.0,0.0,0.0,20000,0.0,-1000.0,19000.0,277.4
110,石路,2,33.09,普通住宅,新风巷78号,高,0,0.0,107102546806,240.0,石路地铁口 新风巷 空中别墅 南北大露台 户型方正_苏州姑苏石路新风巷78号二手房(苏州链家),2020-05-18,4室2厅,107.44, (共5层),22339,5,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,0.0,0.0,20000,-2000.0,654.5,18654.5,199.60315
111,留园西园,1,13.94,普通住宅,新庄二村,高,0,0.0,107102547965,176.0,新庄二村 4室2厅 176万_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-05-18,4室2厅,99.0, (共5层),17778,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,20000,0.0,-303.0,19697.0,195.0003
113,胥江,1,7.68,普通住宅,东方苑（胥江）,高,0,0.0,107102551454,339.0,东方苑 胥江路，地铁口，精装，_苏州姑苏胥江东方苑（胥江）二手房(苏州链家),2020-05-19,5室2厅,180.0, (共6层),18834,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,180.0,0.0,0.0,20000,0.0,-1616.0,18384.0,330.912
118,葑门,2,23.12,普通住宅,杨枝四村,高,0,0.0,107102559270,268.0,杨枝四村  精装修复式  带南北大露台  带车库车位_苏州姑苏葑门杨枝四村二手房(苏州链家),2020-05-20,4室2厅,110.88, (共6层),24171,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,110.0,0.0,0.0,20000,0.0,-844.0,19156.0,210.716
